"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"insB3",-0.644069272016296,4.56522845576689,-2.22841340307835,0.068122908885595,0.141189636132151,-5.67309184073927
"prpE",0.510502099498285,1.61175520724105,2.22737431945431,0.0682196348734417,0.141284910545031,-5.67455794632439
"wcaI",-0.804185658564517,1.39441150792677,-2.22713824536967,0.0682416303250459,0.141284910545031,-5.6748910294545
"yhbE",0.312775540902763,8.01968053660892,2.22423886721962,0.0685123709290207,0.141769871437569,-5.67898159488945
"yagB",-0.922993093747366,0.878369683100343,-2.22291172459855,0.0686366691188947,0.141951449871026,-5.68085383242605
"yjaZ",0.597788021894638,4.04878353747281,2.22170235717617,0.06875014013388,0.142095114803449,-5.68255983748559
"psiF",0.610331082178041,3.12651730645401,2.22139186693103,0.0687793037668601,0.142095114803449,-5.68299782040764
"hemY",-0.209526178786736,7.6738595584258,-2.21952934180394,0.0689545156854389,0.142381360405234,-5.6856250189375
"yjaB",0.751973905582161,2.49716557711378,2.21803272536304,0.069095640735599,0.14259695463181,-5.68773594257942
"exoX",0.478588140172715,5.22766295595585,2.21755182812755,0.0691410509328848,0.142614892099482,-5.68841420421438
"wza",0.803407733064803,1.00761530828062,2.21498423344075,0.0693840274967353,0.14304010764189,-5.69203534116704
"hybG",-0.760591125001637,1.82962115695344,-2.21416218102951,0.0694620066556183,0.143124898594388,-5.69319462111696
"yfjF",-0.805111483150628,3.8492711386023,-2.21299037004625,0.0695733204855028,0.143197775276464,-5.69484707286253
"yaeF",-0.690384352652517,3.08827051091376,-2.21224528946707,0.0696441939404634,0.143197775276464,-5.69589772141152
"ymfK",0.425897868429078,5.37816693737127,2.21209360156108,0.0696586319311856,0.143197775276464,-5.69611161471827
"ydeT",0.403922584177623,1.07524340850933,2.21177753815625,0.0696887255001545,0.143197775276464,-5.69655728767273
"bisC",-0.303217422233643,5.78481024663865,-2.21149479527955,0.0697156579018938,0.143197775276464,-5.69695597128859
"yehS",-0.889277568537006,5.22139696124942,-2.21124621469939,0.0697393451063495,0.143197775276464,-5.69730648027709
"aspS",0.214299771966462,9.65061819280573,2.21107719286835,0.0697554559276698,0.143197775276464,-5.69754480605726
"pitA",-0.229103198650262,8.91995768003963,-2.21005234264352,0.0698532251167369,0.143317981009999,-5.69898983950263
"yccJ",1.31615604759032,2.40393303878976,2.20969016206092,0.069887810513115,0.143317981009999,-5.69950049753622
"trmO",-0.381895839152846,6.39154008788724,-2.20507985447956,0.0703296101842689,0.144147865939684,-5.70600014257143
"hisL",-1.55604920799446,0.778024603997228,-2.19216908646086,0.0715822678621522,0.146637936907489,-5.72419493999994
"sgcR",-0.690140355745376,2.23004074917568,-2.19151752911712,0.0716460927301417,0.146639991170029,-5.72511288434439
"efeO",-0.911938274122894,1.64837149315106,-2.19116868655721,0.0716802886068664,0.146639991170029,-5.72560433876671
