"Gene","logFC","adj.P.Val","P","SignedZ"
"argD",-0.0946356665403659,0.611218619239645,0.611218619239645,-0.508334728124441
"deoD",0.0867526718298696,0.611218619239645,0.611218619239645,0.508334728124441
"yehX",0.207871748627365,0.611283675676334,0.611283675676334,0.508241948688449
"aroF",0.0921963699578811,0.612054044878506,0.612054044878506,0.507143628426597
"yjiX",0.307837640049821,0.612518075724476,0.612518075724476,0.506482351900079
"ybfF",0.144873705696839,0.612563018902083,0.612563018902083,0.50641831648472
"intQ",-0.359938441338485,0.613068711833017,0.613068711833017,-0.505697944003305
"yjfK",-0.491471193723283,0.615152763114887,0.615152763114887,-0.502731921869143
"fixB",0.490020320652216,0.615152763114887,0.615152763114887,0.502731921869143
"maa",-0.437533250371112,0.616076759859243,0.616076759859243,-0.501418304889873
"dcm",-0.126673733126337,0.618582319338183,0.618582319338183,-0.49786057173776
"nuoE",-0.0950337046713489,0.61875308191491,0.61875308191491,-0.497618329602127
"wcaA",-0.408240100936385,0.619289227081247,0.619289227081247,-0.496857948915394
"ygfZ",0.0929426343376495,0.62024047714082,0.62024047714082,0.495509557603524
"pliG",-0.3834257669038,0.621380057338424,0.621380057338424,-0.493895394449647
"norW",0.190693349263924,0.621380057338424,0.621380057338424,0.493895394449647
"yeaV",0.263824814435298,0.621577774901829,0.621577774901829,0.493615467651763
"menI",-0.178768914397559,0.621577774901829,0.621577774901829,-0.493615467651763
"aceA",0.0936190609380353,0.621577774901829,0.621577774901829,0.493615467651763
"ybhN",-0.164567695604289,0.623054801133099,0.623054801133099,-0.49152552818682
"thpR",-0.205310569524016,0.623556620777388,0.623556620777388,-0.490815960069622
"idnO",-0.490483365457309,0.625320043809983,0.625320043809983,-0.488324452771697
"fumE",0.163674707274823,0.627892430682507,0.627892430682507,0.484695399028192
"rplK",-0.0850232720572397,0.629900977083272,0.629900977083272,-0.481866229946501
"mocA",-0.246789119502268,0.630699228943457,0.630699228943457,-0.480742911367882
"dicA",0.103399048545523,0.630699228943457,0.630699228943457,0.480742911367882
"ytfT",0.169159460030219,0.631573810638953,0.631573810638953,0.479512875624052
"paaE",0.35012380495526,0.632517495617431,0.632517495617431,0.478186464310889
"hprR",0.0980705560405526,0.632604961652016,0.632604961652016,0.478063567672914
"hemX",-0.078131360730607,0.632604961652016,0.632604961652016,-0.478063567672914
"ygeX",0.278031567384948,0.633358813576169,0.633358813576169,0.477004645595221
"fadE",-0.151091519527155,0.633358813576169,0.633358813576169,-0.477004645595221
"plaR",-0.131558023471396,0.635096258252843,0.635096258252843,-0.474566121768508
"glcD",0.208856131215951,0.635132002659822,0.635132002659822,0.474515983740267
"lsrF",0.174270289964942,0.635132002659822,0.635132002659822,0.474515983740267
"pgpA",0.164216401670535,0.635132002659822,0.635132002659822,0.474515983740267
"yegI",0.15730048815168,0.635132002659822,0.635132002659822,0.474515983740267
