"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"yghT",-0.160110321333333,1.586974696,-0.41589226265897,0.688151935992924,0.791383004610776,-7.0326277752686
"umpH",0.0726153071666669,7.802477275375,0.415870028573224,0.688167569834377,0.791383004610776,-7.03263786920256
"ompG",0.150364059833334,0.991016074875,0.415375231066673,0.68851552654028,0.79150571861577,-7.0328623658445
"psuG",0.141236565166667,2.076300716875,0.415166456035801,0.688662367091779,0.79150571861577,-7.03295701318327
"uspE",0.357831356666668,9.64492594,0.414131727489944,0.689390342961935,0.792036670339718,-7.03342542998517
"dcuS",0.0815667223333355,5.44974226325,0.413821964831671,0.689608340982449,0.792036670339718,-7.03356544012938
"crr",-0.104556843333332,11.9284311275,-0.413657599024446,0.689724027244662,0.792036670339718,-7.03363969131369
"qmcA",-0.179087060499999,6.535553196625,-0.413406143222312,0.689901027143177,0.792036670339718,-7.03375323010007
"ydjO",-0.227035135666666,2.10097583075,-0.412699129124049,0.690398803145704,0.792385120436502,-7.03407211043301
"mokB",-0.340690272499999,2.038805958625,-0.411059746124793,0.691553631004673,0.793054571039174,-7.03480949708607
"yhcE",-0.115052366083333,1.4455212614375,-0.411004122336468,0.691592829003248,0.793054571039174,-7.03483446701414
"aroP",-0.205955728666667,9.4263140805,-0.410776742752207,0.691753073291139,0.793054571039174,-7.03493650566993
"gntR",0.0675880629999999,7.05417441075,0.410607460645524,0.691872384443329,0.793054571039174,-7.03501243737314
"rplJ",0.143979821666671,12.21654835625,0.410491373143097,0.691954208955239,0.793054571039174,-7.03506449121143
"rsmJ",-0.147959120833332,5.433855780375,-0.409091682676071,0.692941120763395,0.79396259314435,-7.03569100301178
"sad",0.061486711666667,5.59665712375,0.408346931286056,0.693466493103476,0.794341428073316,-7.03602352209679
"tauD",0.160675278000001,3.678594196,0.407921739855457,0.693766516052793,0.794461992975671,-7.03621310216904
"ppdB",0.1603628325,2.826296105875,0.406767424949409,0.694581310449027,0.79517181176581,-7.03672682031072
"dsdX",0.0902399981666665,2.562696958125,0.404966049093262,0.695853685144202,0.796175798865688,-7.03752571433436
"ychF",-0.256203927666665,7.75681477125,-0.404775384196625,0.695988418253357,0.796175798865688,-7.03761007319171
"aslA",-0.127466313499999,3.547471599875,-0.404499926333086,0.696183090402904,0.796175798865688,-7.03773188093615
"eutQ",-0.179783517666666,1.24892612675,-0.404036984048754,0.696510315668405,0.796175798865688,-7.03793641503885
"cdgI",-0.221377519833333,1.974553403625,-0.403958501193825,0.696565797020645,0.796175798865688,-7.03797106750795
"glmU",0.0690064825000043,9.074478679375,0.403868497099109,0.696629425386526,0.796175798865688,-7.03801079897891
"diaA",-0.0619078934999987,6.940444698875,-0.403293242966096,0.697036161188542,0.796417507419626,-7.03826453863724
"rsmD",-0.069112994499998,5.970938439125,-0.402132086984087,0.697857477451822,0.797132638063843,-7.03877565575926
"rrrQ",-0.151293058999999,1.35959483825,-0.400666078008523,0.698895026937046,0.798094293078446,-7.03941893974947
"adiY",-0.3567821415,4.054898682875,-0.399930919447404,0.699415578853725,0.798465196234074,-7.03974067661788
"mutM",0.2166996925,4.145091719375,0.399265484300235,0.699886906179842,0.798779711893557,-7.04003140964929
"yceH",0.112815199166669,7.497700044375,0.398875020256153,0.700163535810547,0.798871905614328,-7.0402017892328
"fliP",-0.1096493115,1.001776618375,-0.397478108742693,0.701153585036205,0.799777816935872,-7.04081002078356
"gmm",-0.258131646833333,0.586237530875,-0.396579294086094,0.701790932429899,0.800281021353525,-7.0412002898348
"lpoA",0.0668528363333343,7.46463658075,0.393890602492931,0.703698968838896,0.801959198734243,-7.04236265498449
"ybiW",0.129643113833335,2.747164416875,0.393573023354664,0.70392448686935,0.801959198734243,-7.04249944701682
"phnD",-0.156078158166667,1.659832178875,-0.39332596685531,0.70409994711104,0.801959198734243,-7.04260578911448
"yhfA",-0.102063530999998,7.28084606175,-0.393324397906352,0.70410106144314,0.801959198734243,-7.04260646424171
"insA3",-0.114941656166667,4.068035540375,-0.393120884244955,0.70424561163669,0.801959198734243,-7.04269401529186
"lsrA",-0.228560837333333,1.985602293,-0.392687797840356,0.704553263456393,0.801966793347078,-7.04288018273448
"ribC",0.0923484038333364,9.079973592375,0.392557973247987,0.704645498248572,0.801966793347078,-7.04293595091732
"yfhR",-0.153307765166667,1.268883197625,-0.391770425024226,0.705205128302357,0.802379837753226,-7.04327387397579
"lacY",-0.171902305166667,1.596669433625,-0.38909741573661,0.707105979265511,0.804318262527613,-7.04441594063247
"ubiX",-0.212763411499999,5.096059551875,-0.388560725405859,0.707487897681988,0.804528334163599,-7.04464433817455
"yiaA",-0.144982217333333,1.986959108,-0.38732082589699,0.708370567656415,0.805307565627235,-7.04517083640493
"rstB",-0.105584505666665,6.18516463075,-0.385982472559875,0.709323849968339,0.80616661577622,-7.04573732070239
"ybfA",0.375063591833335,6.367771859375,0.385573842570031,0.709615017162768,0.806272884403045,-7.04590990465403
"pstB",0.0725310530000019,6.57236828575,0.382914870584381,0.71151088677988,0.808201867773637,-7.04702860943951
"rpmD",0.0689159086666668,7.7067710735,0.382516403083161,0.711795181186573,0.808299706030075,-7.04719561263615
"secM",-0.0762674716666678,7.12356559575,-0.381600789693945,0.712448624321607,0.808816570723027,-7.0475787231467
"yajQ",0.0618471281666697,9.406589955125,0.379546873669016,0.713915351486155,0.810152044168266,-7.04843489860925
"chbA",-0.130970416499999,2.574164865625,-0.379397303106524,0.714022211028418,0.810152044168266,-7.04849707292524
"hcaD",-0.0719260359999986,3.7473960245,-0.377784608690057,0.715174812427253,0.811100277260518,-7.04916594382102
"nrfE",-0.137766721333333,1.9874827425,-0.377671577203867,0.715255625718579,0.811100277260518,-7.04921272087872
"cbrC",-0.135554899999998,4.858756437,-0.376617322485425,0.716009561558472,0.811729572428295,-7.04964836363978
"ycdU",0.112290366333334,0.96811430275,0.376029569468226,0.716430028493054,0.811980574110355,-7.04989072633188
"yhfU",0.148807983166667,1.464015138875,0.374658765445437,0.717411072773325,0.812866601622887,-7.05045456283216
"adiA",-0.117044290666666,2.6681523905,-0.374083850976654,0.717822687772189,0.812989906680982,-7.0506904433933
"gmk",-0.114874234666666,8.8747637435,-0.373714684896761,0.71808704692324,0.812989906680982,-7.05084172330432
"yccF",-0.179290332333333,4.88250333025,-0.373671699538274,0.718117831275209,0.812989906680982,-7.05085932881651
"hemY",0.0674912870000005,7.37488103675,0.372978361728624,0.718614446714282,0.813143466507619,-7.05114302880322
"ydhX",-0.0786918583333329,2.84283676725,-0.372925704946914,0.718652168855104,0.813143466507619,-7.05116455410246
"waaZ",0.0958751228333333,6.748935543125,0.372064774878666,0.719269035737369,0.813615750630263,-7.05151607272169
"ilvA",0.0573852928333337,7.082968828625,0.370735534223891,0.72022188090888,0.814081228972902,-7.05205726062501
"bipA",-0.202998673166665,9.934395060125,-0.370613767780857,0.720309193194917,0.814081228972902,-7.05210674306597
"aroH",-0.142696139833332,7.936919259125,-0.370394310236336,0.720466565589278,0.814081228972902,-7.05219588472119
"yrhC",0.214261984333333,0.68365824975,0.370377177773871,0.72047885182451,0.814081228972902,-7.05220284162301
"yihX",0.175364370666669,6.7259985905,0.367375662039154,0.722632659285013,0.816275448188491,-7.05341684998903
"ydiR",-0.105249412499999,2.802305764125,-0.367113346654447,0.722821014674388,0.816275448188491,-7.05352249336824
"sbcB",-0.0764906818333332,6.656955003625,-0.364414204884853,0.72476029243134,0.818238924114983,-7.05460528873324
"ynfM",0.65252128616667,7.653433723625,0.363897987232849,0.72513142459059,0.818252494303558,-7.05481149507911
"grpE",-0.112724227999996,9.490245648,-0.363675643063905,0.725291301568476,0.818252494303558,-7.05490022465017
"tusE",-0.1548125255,5.345914370875,-0.363337557043143,0.725534430285428,0.818252494303558,-7.05503504202882
"tufB",0.109606788833335,9.684448971125,0.363281539793757,0.725574717307176,0.818252494303558,-7.05505736810819
"ampG",-0.285325456166664,5.161209040875,-0.362919406875255,0.725835181362524,0.818319984736798,-7.05520161838376
"ydeS",-0.161085981666666,1.34643748775,-0.360850782430237,0.727323762957482,0.819771657668851,-7.05602295335643
"xdhB",-0.127656552499999,2.802071532125,-0.360435871978299,0.727622480399265,0.819881794902928,-7.05618714359475
"yaiS",-0.148987459833333,0.880093714625,-0.359075648480206,0.72860212779967,0.820576955692675,-7.05672413407795
"ghoS",-0.357532950833332,3.324114004875,-0.359020637191851,0.72864175864645,0.820576955692675,-7.05674581010848
"rplC",0.167582263333331,12.3394131075,0.356439116792115,0.730502489783659,0.822445392168795,-7.05775938417818
"speF",0.109968044666667,1.944134358,0.354916838168021,0.731600618990645,0.823454449465464,-7.05835374841558
"mutL",-0.0639593666666653,6.5919338435,-0.353797157953449,0.732408743630361,0.824136624901584,-7.05878934631357
"plaP",0.443614843166665,7.119775538875,0.352925646636306,0.733037998304652,0.824617207690203,-7.05912747332584
"alsA",0.153622280833334,1.778399610125,0.349825632514668,0.735278022847198,0.826745763947263,-7.06032365282727
"gspD",-0.170880433999999,2.955158107,-0.349746094669643,0.735335531159762,0.826745763947263,-7.06035420877251
"gyrB",0.0636941726666677,8.146940379,0.349019941119407,0.735860644277724,0.826897275691139,-7.0606328623865
"nrfF",0.159841301833334,1.514516598375,0.348999080069309,0.735875731983043,0.826897275691139,-7.06064085928433
"ydjE",0.130337298666667,1.8424133265,0.348616751822135,0.736152271486883,0.826980202532359,-7.06078733924624
"truA",-0.0683401136666654,5.71297414875,-0.34579472926648,0.738194709325864,0.828752573290523,-7.0618637085514
"tcyL",0.092180265333334,6.9185654215,0.345596919283874,0.738337957105307,0.828752573290523,-7.06193883818741
"cheA",0.102590827333334,2.797176349,0.345594778352105,0.738339507560128,0.828752573290523,-7.06193965110013
"folC",-0.198026970999997,6.51945510875,-0.344733520173618,0.738963330352916,0.829224600965487,-7.06226627447329
"motB",0.145669761833334,2.041176198375,0.343315988318431,0.73999051673196,0.830148877268885,-7.06280213522531
"yjeN",0.168017527,1.20677155125,0.341865472911513,0.741042176437746,0.831100092848382,-7.06334824390497
"rarA",0.0671805045000025,6.879070382875,0.339983950741505,0.742407186078916,0.831970567163841,-7.06405327573693
"idnT",-0.0898785028333331,3.715595384875,-0.33960937038466,0.742679052703233,0.831970567163841,-7.06419318464927
"yifB",-0.104887388166666,3.378894102375,-0.339537196493104,0.742731440179479,0.831970567163841,-7.06422012497756
"rimJ",-0.0802052236666646,7.40758164675,-0.33943726831417,0.742803975471671,0.831970567163841,-7.06425741595223
"ygiN",0.123860905166669,8.636661827375,0.339390191888721,0.742838147980071,0.831970567163841,-7.06427498012994
"ygcO",0.223538092,1.157188664,0.337493215450702,0.744215654144722,0.833262865239078,-7.06498076981506
"setC",0.0904834145000002,2.066296160875,0.337238683438212,0.744400559188821,0.833262865239078,-7.06507517837853
"gnsA",0.0846040750000006,4.42222172025,0.336581508847015,0.744878045537511,0.833559454404849,-7.06531861093631
"dtpD",-0.17838151,4.4038953635,-0.336311547165905,0.745074226712449,0.833559454404849,-7.06541847711921
"emrB",0.264167637666668,4.75360372075,0.335791818921478,0.745451968759551,0.833712476507938,-7.06561051929451
"ascB",-0.0798950623333329,4.53207904575,-0.335336470096635,0.745782979371326,0.833712476507938,-7.06577853550914
"yjiC",0.0953878926666668,1.072370109,0.335279799736479,0.745824179156035,0.833712476507938,-7.06579943041963
"dgcT",0.0804215673333346,4.668828431,0.334321959312006,0.746520667429878,0.834262411629171,-7.06615207568045
"envC",-0.135198152999998,6.62965171725,-0.332710976554775,0.747692640991634,0.835343271050363,-7.06674297236875
"torA",0.0788201471666661,2.878284850375,0.332372348751719,0.747939077835082,0.835389786004737,-7.06686682527685
"acrB",-0.096320821333331,8.3495871295,-0.332016598021345,0.748198008984828,0.83545022684071,-7.06699680866795
"yqeH",-0.103717481666667,2.96864433975,-0.328873548783844,0.750487127007189,0.837776954313718,-7.06813932106992
