"","Read_count_A.1","Read_count_A.2","Read_count_A.3","Read_count_WT.1","Read_count_WT.2","Read_count_WT.3","Read_count_B.1","Read_count_B.2","Read_count_B.3","Read_count_C.1","Read_count_C.2","Read_count_C.3"
"apt",11.1820394852446,10.8293082348449,10.6631312348429,11.6302788385766,11.1289467326788,11.449746883417,11.8004969232531,10.4387456463349,11.1845415544324,11.4633074239494,11.4225642404267,11.6306907336996
"aqpZ",7.99732113723883,8.65539139094991,8.45823717934787,8.14434383869819,8.08483799745319,8.16390211120503,7.97677940740999,8.14083436629952,8.50546444283437,8.6248198568644,8.65209875772317,8.69686585505918
"araA",7.70450022750136,7.70870672372186,7.57315725114432,7.80977406353468,7.50263338322146,7.49447517084587,7.23914606084714,7.38672044627751,7.61474198715245,7.54490370159711,7.49118013959645,7.64508192095382
"araB",6.5096005657671,6.98614093374561,6.49548224788586,6.75689758965418,6.57729606966043,6.55943815256578,6.56122712258485,6.59582753459278,6.62890922380049,6.96258427677028,6.82551196662294,6.8743434671539
"araC",10.0488688534762,10.0989698987304,9.98219127671018,9.99455514985281,9.52209760591927,9.61886604937385,10.0046460889065,10.1346753711185,10.3084367105283,9.49618531998272,9.56582372990843,9.72186504247848
"araD",6.38674675564952,6.47570917619384,5.52606964949726,6.21503593367835,6.0372787751129,6.0256228307353,6.01776310159848,5.9241279581653,6.12721301148395,5.56089122075222,5.65898911388908,6.77378737803427
"araE",8.7634741421611,9.21187270426339,9.28474787922097,8.9463481743622,8.8845584503799,8.77075094946063,8.58279692218333,9.16612733171315,9.23480748865627,9.34314398733492,9.40924708008489,9.06910594297199
"araF",6.40796908565815,6.95396503880269,6.92753822911556,6.77010648406686,6.47369208320521,6.87475285534863,6.35925202563094,6.86637286074178,6.38911953245637,6.77505322681273,6.83772972204299,6.69345885313769
"araG",10.063922537178,10.0428265977218,10.04337096798,10.0250970300776,10.038518077989,10.2315022163999,10.1222347597599,9.95134068970654,9.91418080490979,10.4690101475171,10.4691523443442,10.520543293032
"araH",9.86437574069348,9.42601245674348,9.51246957408371,9.30427360507937,9.3432851827104,9.5829208776872,9.57809955195228,9.097416993436,9.47055042806361,9.85239325640764,9.72275064464695,9.54293142334842
