"","42C_A3_R1_44C","42C_A3_R2_44C","A3_F181_R1_44C","A3_F181_R2_44C","A3_F228_R1_44C","A3_F228_R2_44C","A4_F244_R1_44C","A4_F244_R2_44C","A8_F232_R1_44C","A8_F232_R2_44C","A9_F200_R1_44C","A9_F200_R2_44C","A9_F255_R1_44C","A9_F255_R2_44C","A10_F210_R1_44C","A10_F210_R2_44C","A16_F258_R1_44C","A16_F258_R2_44C"
"cmtA",5.51869285818869,5.5834794562687,6.44551226664103,5.61390940959963,5.08264737300082,5.3012768503618,5.24963099112275,5.20790199610851,5.20356313646024,4.93155752942809,5.51871762798696,5.42411680169197,5.42205630904229,5.21902022936073,5.69835816700597,5.47388090013077,5.42805622815411,5.83375512896504
"cnoX",10.4385403880947,10.1769172894272,10.457966357641,10.4669958594631,10.9352400366535,11.0493924186196,10.6972046959372,10.3851158902072,10.897851849504,10.7419393723075,10.284722224133,10.5989392051595,10.6137285553724,10.5281780664756,10.6272628197751,10.5861556787904,10.498155778435,10.4468126234557
"coaA",9.19794803715658,9.08270992526374,9.48287242468727,9.33471243578159,9.02268244335122,9.33324103244973,9.43251696928773,9.57859637062506,9.33279197815163,9.38045747564071,9.59501348421495,9.27877227688954,9.43381307066435,9.61425239689058,9.34256848195389,9.4151587847492,9.63775142697266,9.72476975987332
"coaD",7.70909459428763,7.78561536380854,7.10500980883424,7.72063729142252,7.84667849771644,7.6917904226367,7.55239028763966,7.19500782391887,7.70522285307814,7.51752348760251,7.62350188599367,8.16495346239551,7.90598641365061,7.76650385216717,7.44549917356101,7.53630264162529,7.89157705654742,7.97255140520467
"coaE",7.43434377206122,7.47376175262277,7.80458363448945,7.53321741157311,8.18107779998852,7.9744641770268,8.07366434566407,7.78035123836065,7.56825843116805,7.74563810933779,7.94805831605976,7.59382737968153,7.91599605216626,7.81135761085518,7.81638030614636,7.72201519149768,8.09114855307827,8.35168483905321
"cobB",8.88973138803777,8.87946079077599,9.1075795324464,9.05806023190835,8.64788667559989,8.58139470540549,8.80524072075529,8.88451402913893,8.81604502487222,8.66522569791805,8.68731233497805,8.98031374321714,9.01771771836856,8.70935605921724,8.73810141667715,8.99280760366265,8.92912985524147,8.93509152630252
"cobC",6.77104792947976,6.50407223392942,6.76654847710138,6.75291460589701,6.25458032802604,6.7830581805686,6.59154870778643,6.71289586802555,7.154326376104,6.96805250868892,7.0147010938712,6.627282146696,6.65434777835086,6.75390372095553,6.49503926812063,6.56645825536556,6.58383943460849,6.58198780184762
"cobS",6.15859033386384,6.53825018357842,7.93663449680685,6.30707104250625,6.33994852905671,6.33990678843423,5.94986082690375,5.99096748360471,5.91756134676422,5.87864613542799,6.19206355386999,6.10834193338228,6.21671974622735,6.00250238036487,6.0542881521559,6.20014024006748,5.93252233054457,5.80912616630363
"cobT",7.47907503033558,7.80417712248699,8.95018329792976,7.55310332355562,7.22839132933649,7.36910139131822,7.36972650418428,7.27769432104198,6.96627390545806,7.22238810290898,7.0147010938712,7.27436637114958,7.37023359121692,7.51386421835936,7.36636339287947,7.55421748142547,7.45473667494962,7.27824982265574
"cobU",6.93085949577391,6.75659230520556,7.84996468751049,6.80958587609791,6.89269935708106,6.59188135763617,6.69987265718523,6.46458965301555,6.32963814437777,6.65769856981889,6.59073902602895,6.88045834364391,6.96783187458359,6.86543123101812,7.09858409830726,6.53022681033883,6.72478836852314,6.7786139171638
