"Gene","logFC","adj.P.Val","P","SignedZ"
"queF",-0.243122062397372,0.214178256451566,0.214178256451566,-1.24215804338658
"znuC",0.168314758580604,0.214178256451566,0.214178256451566,1.24215804338658
"fabI",-0.271986748113051,0.214440158281899,0.214440158281899,-1.24144837437092
"ymgD",-0.410651792910559,0.214895473350654,0.214895473350654,-1.24021610436622
"pliG",-0.177569655793736,0.214895473350654,0.214895473350654,-1.24021610436622
"ilvI",0.261637205043747,0.215376067012081,0.215376067012081,1.2389174598068
"fusA",-0.47031556372791,0.215772462062174,0.215772462062174,-1.23784790424752
"icdC",-0.954318714565228,0.215802430240657,0.215802430240657,-1.23776710148448
"atoD",1.14821459780166,0.215912242358452,0.215912242358452,1.23747108570956
"yaeR",-0.286307854509496,0.216315467969631,0.216315467969631,-1.23638505683528
"hycB",1.09913810057953,0.216358460028006,0.216358460028006,1.2362693500545
"yhfU",0.673937980748457,0.216553387482296,0.216553387482296,1.23574493910203
"yfjU",-0.464738731438791,0.217273719431827,0.217273719431827,-1.23380998070438
"yejB",-0.343010186277486,0.217343164717534,0.217343164717534,-1.23362368054232
"pgrR",-0.237928885110531,0.217343164717534,0.217343164717534,-1.23362368054232
"ydeI",-0.520248829846048,0.21804851693021,0.21804851693021,-1.23173386024767
"ymgE",-0.713919394392239,0.218233714390488,0.218233714390488,-1.23123839708927
"sufC",0.46746164202362,0.218335592142396,0.218335592142396,1.23096596994226
"yddH",0.548455697674783,0.218858471336753,0.218858471336753,1.2295691954479
"rbsA",0.53760702307929,0.218858471336753,0.218858471336753,1.2295691954479
"prpE",0.723547729818523,0.219192649073457,0.219192649073457,1.22867775682068
"entC",-1.29334839799126,0.219286453283061,0.219286453283061,-1.22842770404693
"yihA",0.361535886905501,0.219286453283061,0.219286453283061,1.22842770404693
"yeiI",0.315336692975981,0.219286453283061,0.219286453283061,1.22842770404693
"yjbM",1.31719227189184,0.219402019452929,0.219402019452929,1.22811974623856
"lysR",0.293595480105743,0.219907545693566,0.219907545693566,1.22677399971418
"yegL",0.691946670279483,0.2204559586732,0.2204559586732,1.22531659366124
"nfi",-0.133760553889092,0.2204559586732,0.2204559586732,-1.22531659366124
"yjeN",0.722343250265043,0.220659781961735,0.220659781961735,1.22477559667941
"gcvR",0.141117049545795,0.220732657751385,0.220732657751385,1.2245822534371
"yobD",0.535910899079324,0.220776148024487,0.220776148024487,1.22446689329861
"dnaC",0.162809278045055,0.220888177975182,0.220888177975182,1.22416980324245
"ynjB",0.636816410022878,0.220911733299262,0.220911733299262,1.22410735108073
"ndh",0.505963310864513,0.221440215586702,0.221440215586702,1.22270744079732
"actS",0.294802274008199,0.222188264038064,0.222188264038064,1.22073000280922
"yfgM",-0.20023391860869,0.222188264038064,0.222188264038064,-1.22073000280922
"nusA",-0.295419598226214,0.222215583240559,0.222215583240559,-1.22065787583892
"dxr",0.213345500725338,0.222852725461828,0.222852725461828,1.21897751841803
"yciW",-1.08927294700429,0.223363091714604,0.223363091714604,-1.21763399026553
"yadL",-0.444288933764539,0.223948505043068,0.223948505043068,-1.21609560377231
"glcB",-0.212675247298732,0.22409744115102,0.22409744115102,-1.21570467892515
"amyA",-0.52395652078859,0.224145486856105,0.224145486856105,-1.21557860903931
"chpS",0.587998421551276,0.224170567986902,0.224170567986902,1.21551280489381
"umuD",0.299878853814056,0.225140592382339,0.225140592382339,1.21297182607759
"yjhF",0.490318273971241,0.225150675656367,0.225150675656367,1.21294545405499
"ptrB",-0.420147869284778,0.225208867160639,0.225208867160639,-1.21279327516002
"yfaA",0.626783724025062,0.225441068143477,0.225441068143477,1.21218631667197
"wbbL",0.340081016575763,0.225674215221956,0.225674215221956,1.21157733411983
"motB",0.668237728576319,0.225712151285183,0.225712151285183,1.21147828723061
"yidP",-0.524066986727744,0.225868740657091,0.225868740657091,-1.21106957532067
"coaE",0.266638660371547,0.226267966686252,0.226267966686252,1.21002847488044
"dppC",0.282587352702453,0.226718102735133,0.226718102735133,1.20885618231621
