"","menF KO, rep 1","menF KO, rep 2","menF KO adapted 1, rep 1","menF KO adapted 1, rep 2","menF KO adapted 2, rep 1","menF KO adapted 2, rep 2","menF KO adapted 3, rep 1","menF KO adapted 3, rep 2","menF KO adapted 4, rep 1","menF KO adapted 4, rep 2"
"paaC",4.6000650695833,4.22981826521331,4.8182556365252,4.99216511010901,4.42845553006574,4.64273823505,4.71718693697255,4.8208880844099,4.7355409785042,4.98923549031224
"paaD",4.31785805645897,4.46448199664062,4.43273178884474,4.10262201297897,4.51272012645753,4.26639775843677,4.46782663963074,4.76875556945092,4.68189514045082,4.78606078304259
"paaE",5.05662622861761,5.67624158995198,5.30782357250674,4.99216511010901,5.57218087755538,4.70457446633761,5.38924057302804,5.44909436163058,5.40606792101941,5.48062274928333
"paaF",4.03555902083109,4.7409075580374,4.57652373199764,4.10262201297897,4.59087011957127,4.43346619967011,4.6598527548924,4.91880888315628,4.43726597805767,4.48398213811439
"paaG",5.21549576636823,4.46448199664062,4.26574673107949,3.11680854235897,4.33674348324348,4.43346619967011,5.13777727189907,4.8208880844099,4.92864692094412,4.42446021624329
"paaH",5.48468938434208,5.46338961164316,5.27031817126241,4.9214575377575,5.82282551323148,5.41545606047423,5.51395222610797,6.02391913894723,5.8024422168397,6.13834396321752
"paaI",4.87472903299036,5.092934868681,5.06450082183861,5.44945471511132,5.12676933556281,5.34540036611554,4.82402875809723,5.05242938390219,5.09538130326135,5.48062274928333
"paaJ",7.0576422460693,7.23936386724093,6.44353310512585,6.6144591295902,6.47404010609215,6.52363145640779,6.49395729922298,6.5606134190169,6.70088215886259,6.45006585717785
"paaK",7.23425096964189,7.37557691538316,6.86104104535798,6.91387706666263,6.65911071871895,6.66901057984383,6.76087825841592,6.92749678963496,6.87151916483279,6.70531570852593
"paaX",8.46267107397695,8.35603578224843,8.96700636633974,8.8520252769399,8.73573067214993,8.75903827226528,8.54464514026304,8.52132562550576,8.71875489002493,8.7806330664879
"paaY",8.2761663104044,8.05842761087212,8.57920468706742,8.59869632547418,8.36991938446072,8.59897180751124,8.37718561246574,8.40279162810671,8.70983343226455,8.75537918799361
"paaZ",5.13852947529221,5.0301165420023,5.01901987242586,5.44945471511132,5.46479292509664,5.48200057250293,5.87738216899472,5.80289542189623,5.60553015955098,5.37401533621224
