"","menF/ubiC KO, rep 1","menF/ubiC KO, rep 2","menF/ubiC KO adapted 1, rep 1","menF/ubiC KO adapted 1, rep 2","menF/ubiC KO adapted 2, rep 1","menF/ubiC KO adapted 2, rep 2","menF/ubiC KO adapted 3, rep 1","menF/ubiC KO adapted 3, rep 2","menF/ubiC KO adapted 4, rep 1","menF/ubiC KO adapted 4, rep 2"
"yfaX",2.97675969992021,0.943056417305007,2.85051991500661,3.84525529162436,3.59588511598804,3.42155647161402,3.45560316065251,2.82298756540603,3.79416287730071,4.65289931501216
"yfaY",9.07152835748102,8.94984201532402,9.43975113285193,9.40946986627361,9.27011881943762,9.42886555268435,9.05646911646689,8.85878352339197,9.41790335478465,9.45888097988734
"yfaZ",6.35824756255773,6.20165895765036,5.53743518794652,5.48363026731228,4.7088545225423,5.21388508747278,6.48580738165529,5.96785795383376,5.86835039961553,6.05562386135256
"yfbK",5.24493470912562,5.09116344987842,5.83615342148406,5.7672621353488,5.32545048790023,5.21388508747278,5.40308056234162,5.45277335927172,6.05189984459876,6.1758756390192
"yfbL",2.78811444517747,3.08186151283128,2.85051991500661,3.84525529162436,4.13182605303223,2.79041319903296,3.61468495735031,3.0721506324417,3.87568560028394,3.20504331125551
"yfbM",3.418725821917,3.40293194674351,5.62524421606873,5.08462891406834,5.02652612429284,5.44099365927006,3.06679631630542,3.62090890251945,4.69341156061127,4.44846856729608
"yfbN",2.78811444517747,3.66201786954072,4.46646441202871,2.94065610575327,3.45833623605202,3.93809911010064,3.45560316065251,4.01144506912727,3.51606852007283,3.33360773825996
"yfbO",4.66005432781983,4.1538980849236,3.93001624333964,4.31003596865067,4.87649190203072,4.24654583527222,5.01513401260599,4.48849482455867,3.87568560028394,4.14296955372079
"yfbP",5.52457021334954,5.62340054990621,5.47576760458165,5.85060887859234,5.4366786470266,5.94258770145255,5.870552477281,6.1820406810965,5.080041917064,5.64358195325962
"yfbR",7.63644684268717,7.49071404496975,7.9946592476103,7.76397069644926,7.6552456942622,7.83534435374012,7.78295415148723,7.63666134394312,8.03760421541123,8.04337967468532
"yfbS",7.69397430608831,7.87961697950961,10.6555578697575,10.616340938849,10.6854850174486,10.5593968478177,7.74162856215373,7.5136371369376,10.1163857939389,10.0780376723673
"yfbU",10.7266725439369,10.7546832349301,11.5688699434729,11.6676697802598,11.4845511057049,11.4722062996945,10.847155841157,10.7949957489908,11.159549196507,11.1033422067348
"yfbV",8.7724829526672,8.79086457587769,8.63533898022108,8.75123837209029,8.54159150870918,8.65266980615455,8.91494271174763,8.77884871546358,9.09549114817066,9.16528694177715
"yfcA",8.98199316243677,8.81050298425484,8.55576065054512,8.74762304171748,8.69086892649612,8.6265713235398,8.57720086743821,8.63188660511613,7.04542236408225,6.95786391434973
"yfcC",5.06227623114171,4.45197910439529,10.3916485418597,10.4638488804308,9.9873796409829,10.0497141146278,5.31547617706746,5.36772009972523,9.66023574680798,9.72539470187107
"yfcD",9.81305546868313,9.84457500062142,8.65630138071884,8.85232583919061,8.97454067905389,9.02651420271599,9.71150548636366,9.64307706982034,9.24794527811716,9.23610642377179
"yfcE",10.0246381320762,10.0360700186631,9.57249239472052,9.329502814875,9.76082591813311,9.69527728239832,9.96233007779066,9.83513891279856,9.90388150520621,9.81404451808504
"yfcF",8.52377001087919,8.43794328706366,8.2411970339473,8.25136287193029,8.4475375793934,8.61997225692158,7.60081967376426,7.52348215967655,7.65667553709472,7.41399119112792
"yfcG",7.6876944998552,7.98131171160529,7.41497372978659,7.68299549046534,7.98241840504176,8.1095107457991,6.44517931109153,6.92388931979784,7.01923601509021,6.63731934376471
"yfcH",10.488275105641,10.5263364569325,9.69741745416234,9.65695555975916,9.89483631974339,9.94140596674436,10.3218646830871,10.1274928225676,10.4163611868025,10.3383796203801
"yfcJ",6.63130920073659,6.68586282695997,6.5094157584929,6.14277487001837,6.31642175979419,6.2807498677073,7.69908401365265,7.42187058476396,7.47595736740621,7.66931168704315
