"Gene","logFC","adj.P.Val","P","SignedZ"
"rffH",-0.0490318913277911,0.862899437688335,0.862899437688335,-0.172684487623208
"yjhU",0.0433121370751579,0.862899437688335,0.862899437688335,0.172684487623208
"sdhD",-0.375737618560734,0.863657775937381,0.863657775937381,-0.171719854631919
"insO",0.102979437168545,0.863657775937381,0.863657775937381,0.171719854631919
"yqaA",0.0388580676686064,0.863886195183052,0.863886195183052,0.171429328649236
"htrE",0.0870075875607126,0.864588070394442,0.864588070394442,0.170536705391879
"yafT",-0.14108220926692,0.86500566479182,0.86500566479182,-0.17000568622078
"hyaF",0.115241822066896,0.865239197758315,0.865239197758315,0.169708743178321
"rplF",-0.168067428832081,0.865791796937489,0.865791796937489,-0.169006158963453
"yjbR",-0.160182525543205,0.865791796937489,0.865791796937489,-0.169006158963453
"rutF",-0.15779953189946,0.865791796937489,0.865791796937489,-0.169006158963453
"mepM",-0.140139083490868,0.865791796937489,0.865791796937489,-0.169006158963453
"gspL",0.112301302271317,0.865791796937489,0.865791796937489,0.169006158963453
"trmD",-0.107776724005536,0.865791796937489,0.865791796937489,-0.169006158963453
"ychO",-0.0755142345386861,0.865791796937489,0.865791796937489,-0.169006158963453
"csdE",-0.0649783855819586,0.865791796937489,0.865791796937489,-0.169006158963453
"mobA",0.0760738272226977,0.86668724104193,0.86668724104193,0.167867852681704
"insD2",0.079962859782835,0.866912495990832,0.866912495990832,0.167581538424306
"yegZ",0.222444359038032,0.867315288710737,0.867315288710737,0.167069595894159
"dkgB",-0.11929094242708,0.86848711587832,0.86848711587832,-0.16558047243661
"wbbH",-0.105966014127029,0.86848711587832,0.86848711587832,-0.16558047243661
"rho",-0.12266021465516,0.86902804276051,0.86902804276051,-0.164893202528326
"yeiP",-0.172169127685705,0.869279717340346,0.869279717340346,-0.164573466163711
"ycgX",0.16574539794313,0.869279717340346,0.869279717340346,0.164573466163711
"menC",-0.153729008261846,0.869279717340346,0.869279717340346,-0.164573466163711
"glnD",-0.0835117584234583,0.869279717340346,0.869279717340346,-0.164573466163711
"mlaD",0.0670422229039811,0.8695555842364,0.8695555842364,0.164223014343436
"recO",-0.162725128555725,0.870544598663802,0.870544598663802,-0.162966769860147
"yfcO",0.109168401905714,0.870544598663802,0.870544598663802,0.162966769860147
"prlF",0.0902079762706809,0.871435538423567,0.871435538423567,0.161835319866039
"yqgB",-0.267552065726598,0.871642966327475,0.871642966327475,-0.161571926338947
"fadL",0.252223400371057,0.871642966327475,0.871642966327475,0.161571926338947
"nupC",0.126200383981022,0.871642966327475,0.871642966327475,0.161571926338947
"fpr",0.111377980022317,0.871642966327475,0.871642966327475,0.161571926338947
"def",0.041254944753212,0.871642966327475,0.871642966327475,0.161571926338947
"gapC",0.228973387722709,0.871692953407334,0.871692953407334,0.161508454042228
"djlC",-0.0863593475072657,0.871841624435965,0.871841624435965,-0.161319679272845
