"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","P","SignedZ"
"speF",-0.725112491059896,6.66408194320963,-5.58896711655279,6.36418684202723e-06,0.000350030276311498,3.81585547365641,0.000350030276311498,-3.57514766667703
"citD",-0.740857576490547,6.63432743974044,-5.58105745618667,6.49950502923207e-06,0.000353004366900167,3.79531277242965,0.000353004366900167,-3.57293354651774
"glaH",-1.1321897391626,6.84698740953155,-5.54544757027296,7.14557805366765e-06,0.000381440146869216,3.70278988480328,0.000381440146869216,-3.55260266094997
"ydjZ",-0.962427312987215,6.40150605476752,-5.54266870136301,7.1986402861394e-06,0.000381440146869216,3.69556717019672,0.000381440146869216,-3.55260266094997
"gabT",-1.63593588096767,7.8895839624641,-5.53366111428904,7.3733854854514e-06,0.000385992288364896,3.6721525656726,0.000385992288364896,-3.54948033879562
"ycjY",-0.584978118822182,6.32654787545944,-5.49894408908165,8.08784141942446e-06,0.000418353225802372,3.58187356640376,0.000418353225802372,-3.52822700186032
"ymfA",-0.887830612731257,5.55432345092572,-5.48939718623021,8.29627090654637e-06,0.000424085848105223,3.5570382774231,0.000424085848105223,-3.52462301882685
"dgcM",-1.23388461632063,6.73947894803346,-5.44725921350477,9.28285751517225e-06,0.000469000184923528,3.44737538956841,0.000469000184923528,-3.4978640234308
"ybeT",-0.678131351583673,5.44512714953664,-5.44102489402218,9.43854083968438e-06,0.000471384597108375,3.43114472525934,0.000471384597108375,-3.49651126126505
"yahC",-0.7193761475833,7.00139909782745,-5.40368480046151,1.04276207379041e-05,0.000514089177468805,3.33390159595312,0.000514089177468805,-3.47330583777412
"b1367",-0.959246331566031,4.55928961279794,-5.40001650277139,1.05302501253679e-05,0.000514089177468805,3.32434569480335,0.000514089177468805,-3.47330583777412
"murD",-0.689267222884704,8.36959378272104,-5.37951019845637,1.11229813069519e-05,0.000536101648184163,3.27091833987595,0.000536101648184163,-3.46203790373726
"ymfQ",-0.701574990856057,7.3806301069518,-5.36902205598568,1.14390055263176e-05,0.000536101648184163,3.2435870003836,0.000536101648184163,-3.46203790373726
"queE",0.808865586511639,7.23244408676469,5.36834137461701,1.1459825071251e-05,0.000536101648184163,3.2418130709658,0.000536101648184163,3.46203790373726
"fliF",-0.757118723931454,7.88291793246238,-5.36743943436307,1.14874708659932e-05,0.000536101648184163,3.23946249406042,0.000536101648184163,-3.46203790373726
"fimZ",-0.878502648108757,3.48962009410115,-5.36385331061187,1.15980563703824e-05,0.000536101648184163,3.23011631961271,0.000536101648184163,-3.46203790373726
"sfmD",-0.704673243173921,5.2665091823676,-5.34033355600865,1.23503739175377e-05,0.00056486710180738,3.16880912292907,0.00056486710180738,-3.44794593142499
"ybhP",-0.900266541241085,7.30784310446894,-5.32761151421518,1.27775767636669e-05,0.000578318448313881,3.13564064696973,0.000578318448313881,-3.44158420273953
"ssuD",-0.546230423822917,6.90419864494989,-5.30880553250184,1.34364595036078e-05,0.000592872489621116,3.08660198548159,0.000592872489621116,-3.43485430346683
"mqsR",2.31915323034612,7.45938306776718,5.30865663679153,1.34418102779766e-05,0.000592872489621116,3.08621368523083,0.000592872489621116,3.43485430346683
"beeE",-0.592685015043228,7.39023254531761,-5.30680620748998,1.35084871052913e-05,0.000592872489621116,3.08138796213117,0.000592872489621116,-3.43485430346683
"emrE",-0.905714081679292,5.65958907437469,-5.28638702220811,1.42667154243411e-05,0.000619888785187619,3.02813102199921,0.000619888785187619,-3.42275958027602
"b2680",-0.59173799096717,6.0228218503443,-5.27765161723785,1.46040232954388e-05,0.000628262190283974,3.00534433453051,0.000628262190283974,-3.41911044967761
"ybcL",-0.786278062649495,4.43236893870929,-5.26730423225411,1.50139658706482e-05,0.000639565506940849,2.97835039392555,0.000639565506940849,-3.41425557548892
"aceB",-1.54923947427602,10.7799601577446,-5.25350742713081,1.55786210280025e-05,0.000651725494136078,2.94235395020981,0.000651725494136078,-3.40912106857958
"flgG",-1.08710070368758,6.96870335802596,-5.25300902988283,1.559941343847e-05,0.000651725494136078,2.94105353320536,0.000651725494136078,-3.40912106857958
"yahK",-1.18477138432813,7.2739072073107,-5.24941788594986,1.57500575860351e-05,0.000651752382964975,2.93168337245186,0.000651752382964975,-3.4091098139334
"insE2",1.07643288853636,8.50088454343707,5.24357401850607,1.59983328038379e-05,0.000655780717289394,2.91643473616754,0.000655780717289394,3.40742856449904
"ygeX",-0.60843233654765,6.49534048260256,-5.23667920306746,1.62963201905518e-05,0.000661752441382688,2.89844292407471,0.000661752441382688,-3.40495381726988
"glyT",1.72676882387369,9.29914117444008,5.22606964259484,1.67657874703698e-05,0.000674512468136637,2.87075577414265,0.000674512468136637,3.39973477040537
