"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","P","SignedZ"
"dcuR",0.0655928296666651,9.78012918783333,0.232427004381874,0.822401884544224,0.910531221406414,-7.25791417159101,0.910531221406414,0.112368511434147
"yaeQ",0.0573253133333318,10.8705909333333,0.232315886540949,0.822485080491135,0.910531221406414,-7.25794308096812,0.910531221406414,0.112368511434147
"tnaB",-0.0347518570000022,7.08831411283333,-0.231931087566964,0.822773205137339,0.910610681152526,-7.25804308829063,0.910610681152526,-0.112268293253074
"kdgK",-0.0421432343333354,8.6601022325,-0.231242138245032,0.823289139654131,0.910942163197749,-7.25822173452362,0.910942163197749,-0.111850225442938
"yhhY",-0.0333385810000001,8.30039401016667,-0.230123044458011,0.824127394083027,0.91162478689143,-7.25851080150499,0.91162478689143,-0.110989356468194
"aaeX",0.0354768986666658,8.534988402,0.229840250782315,0.824339258472032,0.91162478689143,-7.25858362955155,0.91162478689143,0.110989356468194
"yedE",0.0336093959999976,8.84103936,0.229454413370432,0.824628346524992,0.911704941035905,-7.25868285209903,0.911704941035905,0.110888278048281
"ydeM",-0.0580513363333338,7.01754808983333,-0.228404933835102,0.825414812906245,0.912211958906784,-7.2589519062089,0.912211958906784,-0.110248929139322
"yhcC",-0.0323812613333339,7.37108229066667,-0.228264061312684,0.825520397119492,0.912211958906784,-7.25898792897632,0.912211958906784,-0.110248929139322
"msrB",-0.0840514800000028,12.6219288766667,-0.227316527145422,0.826230674859917,0.912529256904864,-7.25922965512149,0.912529256904864,-0.109848839697348
"ygdB",-0.0315266330000026,8.00302350183333,-0.227188417852778,0.826326719640423,0.912529256904864,-7.25926226107358,0.912529256904864,-0.109848839697348
"ybhJ",-0.0304114596666669,7.26315267616667,-0.226751030852655,0.826654656612097,0.912529256904864,-7.25937344674671,0.912529256904864,-0.109848839697348
"kefB",0.0353419259999984,8.94675648,0.22633668960005,0.826965348472186,0.912529256904864,-7.25947857915695,0.912529256904864,0.109848839697348
"afuC",0.0396833819999995,7.68596466733333,0.226287883305939,0.827001947804284,0.912529256904864,-7.25949095048024,0.912529256904864,0.109848839697348
"pncC",-0.0459284520000009,9.67166628866667,-0.225900260479351,0.827292638271829,0.912529256904864,-7.25958911089698,0.912529256904864,-0.109848839697348
"frlD",0.0288671303333312,7.70988066616667,0.225684920390922,0.827454140911003,0.912529256904864,-7.25964357123012,0.912529256904864,0.109848839697348
"ybaT",0.053138027333333,8.108743229,0.22556781119344,0.827541975197402,0.912529256904864,-7.25967316708541,0.912529256904864,0.109848839697348
"yihY",-0.0556724546666693,9.526257001,-0.224501681479046,0.82834171414804,0.913171889693321,-7.25994190256528,0.913171889693321,-0.109038580808399
"yqiA",-0.0400892166666688,10.4186678283333,-0.224205871336165,0.828563649282993,0.913177376232552,-7.2600162437476,0.913177376232552,-0.109031663454158
"gudD",-0.0302569446666677,7.407962208,-0.222726323285371,0.829673946313822,0.91381228125554,-7.26038662295767,0.91381228125554,-0.108231218959538
"ybaZ",-0.0340898230000017,8.04018021916667,-0.222722348594218,0.829676929596576,0.91381228125554,-7.26038761469358,0.91381228125554,-0.108231218959538
"sad",0.0309161919999977,9.275802075,0.222308592437937,0.829987498681307,0.91381228125554,-7.26049075656551,0.91381228125554,0.108231218959538
"yfcQ",0.0288086813333313,6.831331193,0.222281066047994,0.830008161377983,0.91381228125554,-7.26049761167828,0.91381228125554,0.108231218959538
"torY",0.0460407853333315,7.59429865033333,0.221609422647364,0.830512374845028,0.914128291245482,-7.26066461669566,0.914128291245482,0.107832841221485
"gatD",-0.0580647033333359,10.703454585,-0.220124227615365,0.831627634158234,0.915116526058041,-7.26103214126805,0.915116526058041,-0.106587133944795
"yihM",-0.0337068640000017,7.17907947,-0.219532711143699,0.832071928822158,0.915184069182578,-7.26117783791918,0.915184069182578,-0.10650199934754
"mog",-0.0351985166666678,10.7354407416667,-0.219463544127429,0.832123885189291,0.915184069182578,-7.26119484920013,0.915184069182578,-0.10650199934754
"yedA",0.0370449503333318,8.21852308716667,0.218737166817684,0.832669573487111,0.915417671826254,-7.26137317843676,0.915417671826254,0.106207561306539
"nikC",0.0349979903333333,6.92422583083333,0.218601813962996,0.832771267622411,0.915417671826254,-7.26140634371804,0.915417671826254,0.106207561306539
"ygeQ",0.0392867209999993,8.6548407105,0.218042865453005,0.83319125609361,0.915511105431201,-7.26154308724822,0.915511105431201,0.106089798062694
"ihfB",-0.0385800500000008,11.8424800483333,-0.217616847763946,0.833511400346411,0.915511105431201,-7.26164707788134,0.915511105431201,-0.106089798062694
"rplN",0.0471621799999997,15.6048677533333,0.21744564080008,0.833640068564762,0.915511105431201,-7.26168881281681,0.915511105431201,0.106089798062694
"yihD",-0.0324563033333341,10.2929959716667,-0.21700068468353,0.833974494371596,0.915511105431201,-7.26179712759253,0.915511105431201,-0.106089798062694
"hcp",0.0287154853333336,7.097368419,0.216776256726589,0.834143186602354,0.915511105431201,-7.26185167651632,0.915511105431201,0.106089798062694
"yjdM",0.0325196879999972,9.41287421666667,0.216752103269697,0.834161342202104,0.915511105431201,-7.26185754387562,0.915511105431201,0.106089798062694
"thiC",0.0329969056666649,7.15900393516667,0.21602323382805,0.834709266937838,0.915873645605152,-7.26203429716691,0.915873645605152,0.105632868172942
"metH",0.0279964566666646,10.8025768416667,0.213976820113608,0.836248168665388,0.9173230497557,-7.26252741606978,0.9173230497557,0.103806321485233
"paaJ",0.0285660986666645,7.217130608,0.21357326085571,0.836551734762979,0.917416949353148,-7.2626241133669,0.917416949353148,0.103688000731448
"citT",-0.028245952333334,6.8523848535,-0.212246518105355,0.837549947048585,0.918130182348477,-7.26294074465708,0.918130182348477,-0.102789319271048
"yhbX",0.0309488113333319,7.57243462266667,0.212129013535498,0.837638370211013,0.918130182348477,-7.26296869351627,0.918130182348477,0.102789319271048
"hemN",-0.0429629086666688,10.0098022706667,-0.210219655470466,0.83907552490891,0.919465994361261,-7.26342069741206,0.919465994361261,-0.101106404102732
"xylG",0.0291665653333333,7.091686427,0.209719189033988,0.839452328697953,0.919639472017096,-7.26353850519135,0.919639472017096,0.100887870373074
"yahC",-0.0251660706666672,7.10854494133333,-0.209015463149912,0.839982242919504,0.91998055176898,-7.26370368993752,0.91998055176898,-0.100458218528209
